categoria,video,frame,persona_1,persona_2,distancia_centros,velocidad_relativa,aceleracion_prom,diferencia_orientacion,ang_brazo_der,ang_brazo_izq,ang_pierna_der,ang_pierna_izq,movimiento_relativo
noViolencia,NV_114.mp4,20,0,1,20.8,1.057,42.734,310.28,4.96,78.46,28.92,51.89,20.804
noViolencia,NV_114.mp4,20,0,2,10.61,10.469,23.035,5.09,4.96,78.46,28.92,51.89,10.612
noViolencia,NV_114.mp4,20,1,2,12.66,11.527,19.699,305.2,29.93,32.5,33.99,115.67,12.656
noViolencia,NV_114.mp4,30,0,1,23.4,1.55,2.587,321.18,8.91,66.31,33.52,43.4,23.396
noViolencia,NV_114.mp4,30,0,2,45.18,28.184,19.327,26.44,8.91,66.31,33.52,43.4,45.178
noViolencia,NV_114.mp4,30,1,2,28.46,29.734,20.631,294.75,8.18,75.42,100.54,61.12,28.46
noViolencia,NV_114.mp4,40,0,1,19.77,1.745,1.9,329.89,18.91,65.05,19.79,40.2,19.771
noViolencia,NV_114.mp4,60,0,1,41.05,51.453,28.385,1.98,174.18,0.0,2.66,43.6,41.054
noViolencia,NV_114.mp4,80,0,1,34.69,33.279,4.205,237.91,0.9,27.79,78.62,30.13,34.693
noViolencia,NV_114.mp4,90,0,1,39.61,5.055,19.167,192.35,2.66,165.14,82.59,30.68,39.609
noViolencia,NV_114.mp4,100,0,1,40.76,46.245,35.225,190.15,180.0,0.0,126.58,0.0,40.755
noViolencia,NV_114.mp4,100,0,2,47.52,72.405,49.123,183.47,180.0,0.0,126.58,0.0,47.52
noViolencia,NV_114.mp4,100,1,2,58.24,26.16,23.472,6.68,18.46,2.03,168.4,71.94,58.235
noViolencia,NV_115.mp4,0,0,1,55.94,0.0,0.0,273.57,137.04,27.84,162.65,70.63,55.943
noViolencia,NV_115.mp4,10,0,1,53.47,6.244,83.551,271.4,6.96,71.01,53.56,15.01,53.469
noViolencia,NV_115.mp4,20,0,1,55.81,1.24,2.933,269.76,126.83,26.59,156.01,70.19,55.814
noViolencia,NV_115.mp4,30,0,1,56.34,3.297,77.777,274.94,122.82,25.74,170.51,70.14,56.339
noViolencia,NV_115.mp4,40,0,1,57.2,6.195,1.449,277.24,122.93,24.14,163.62,70.85,57.198
noViolencia,NV_115.mp4,50,0,1,65.65,3.82,4.356,283.13,122.52,22.37,166.65,67.82,65.648
noViolencia,NV_115.mp4,60,0,1,63.36,3.346,1.311,283.51,118.63,25.54,171.4,64.79,63.361
noViolencia,NV_115.mp4,70,0,1,60.46,4.872,0.763,281.04,100.43,31.31,156.55,58.51,60.457
noViolencia,NV_115.mp4,80,0,1,57.17,6.071,0.6,273.74,93.22,32.24,160.01,70.28,57.173
noViolencia,NV_115.mp4,90,0,1,56.68,2.403,80.131,263.73,2.74,59.83,46.56,0.0,56.684
noViolencia,NV_115.mp4,100,0,1,54.88,4.079,83.191,264.19,1.87,70.54,59.24,0.0,54.875
noViolencia,NV_115.mp4,110,0,1,53.14,1.637,1.471,266.29,4.2,70.88,62.16,0.0,53.141
noViolencia,NV_115.mp4,120,0,1,51.19,3.489,1.792,271.72,3.35,78.27,60.42,0.0,51.193
noViolencia,NV_125.mp4,0,0,1,38.07,0.0,0.0,288.15,0.64,28.76,46.19,41.87,38.074
noViolencia,NV_125.mp4,20,0,1,75.23,8.282,1.691,123.32,1.83,69.28,51.61,31.99,75.229
noViolencia,NV_132.mp4,30,0,1,20.9,9.724,0.628,303.56,9.19,63.67,24.53,34.59,20.904
noViolencia,NV_132.mp4,40,0,1,27.7,28.124,18.924,13.07,13.9,75.07,29.12,41.68,27.698
noViolencia,NV_132.mp4,110,0,1,75.9,2.869,17.593,108.12,1.15,68.11,46.51,43.5,75.904
noViolencia,NV_136.mp4,0,0,1,41.36,0.0,0.0,285.74,5.42,67.89,63.01,0.0,41.358
noViolencia,NV_136.mp4,70,0,1,48.25,9.045,2.791,288.68,1.54,68.22,62.96,23.61,48.246
noViolencia,NV_136.mp4,110,0,1,54.17,13.637,3.767,293.13,9.91,67.27,36.32,29.01,54.167
noViolencia,NV_136.mp4,120,0,1,53.99,5.818,3.91,318.33,6.44,91.23,47.7,21.37,53.987
noViolencia,NV_138.mp4,0,0,1,102.11,0.0,0.0,0.82,1.02,47.01,20.69,49.74,102.112
noViolencia,NV_138.mp4,10,0,1,30.73,140.344,83.834,2.27,3.49,51.05,17.95,45.12,30.729
noViolencia,NV_138.mp4,10,0,2,121.59,13.662,6.831,2.02,3.49,51.05,17.95,45.12,121.591
noViolencia,NV_138.mp4,10,1,2,112.55,154.006,77.003,0.25,2.52,21.21,81.35,6.45,112.55
noViolencia,NV_138.mp4,30,0,1,215.34,158.205,78.109,267.13,11.32,66.51,47.3,39.15,215.338
noViolencia,NV_138.mp4,30,0,2,26.66,158.205,1.106,7.01,11.32,66.51,47.3,39.15,26.663
noViolencia,NV_138.mp4,30,0,3,100.08,158.205,1.106,3.16,11.32,66.51,47.3,39.15,100.079
noViolencia,NV_138.mp4,30,0,4,155.86,158.205,1.106,3.59,11.32,66.51,47.3,39.15,155.857
noViolencia,NV_138.mp4,30,0,5,170.58,158.205,1.106,8.85,11.32,66.51,47.3,39.15,170.576
noViolencia,NV_138.mp4,30,0,6,190.1,158.205,1.106,1.53,11.32,66.51,47.3,39.15,190.101
noViolencia,NV_138.mp4,30,0,7,49.72,158.205,1.106,33.71,11.32,66.51,47.3,39.15,49.715
noViolencia,NV_138.mp4,30,0,8,271.49,158.205,1.106,0.75,11.32,66.51,47.3,39.15,271.491
noViolencia,NV_138.mp4,30,0,9,88.65,158.205,1.106,0.17,11.32,66.51,47.3,39.15,88.652
noViolencia,NV_138.mp4,30,1,2,231.16,0.0,77.003,274.15,4.85,60.12,51.01,38.58,231.165
noViolencia,NV_138.mp4,30,1,3,312.46,0.0,77.003,270.29,4.85,60.12,51.01,38.58,312.46
noViolencia,NV_138.mp4,30,1,4,368.71,0.0,77.003,270.72,4.85,60.12,51.01,38.58,368.706
noViolencia,NV_138.mp4,30,1,5,385.4,0.0,77.003,275.99,4.85,60.12,51.01,38.58,385.403
noViolencia,NV_138.mp4,30,1,6,404.27,0.0,77.003,268.66,4.85,60.12,51.01,38.58,404.273
noViolencia,NV_138.mp4,30,1,7,263.93,0.0,77.003,300.84,4.85,60.12,51.01,38.58,263.935
noViolencia,NV_138.mp4,30,1,8,486.18,0.0,77.003,267.88,4.85,60.12,51.01,38.58,486.183
noViolencia,NV_138.mp4,30,1,9,299.7,0.0,77.003,267.3,4.85,60.12,51.01,38.58,299.696
noViolencia,NV_138.mp4,30,2,3,81.3,0.0,0.0,3.86,1.42,18.37,101.71,38.85,81.3
noViolencia,NV_138.mp4,30,2,4,137.54,0.0,0.0,3.43,1.42,18.37,101.71,38.85,137.543
noViolencia,NV_138.mp4,30,2,5,154.97,0.0,0.0,1.84,1.42,18.37,101.71,38.85,154.969
noViolencia,NV_138.mp4,30,2,6,173.28,0.0,0.0,5.48,1.42,18.37,101.71,38.85,173.276
noViolencia,NV_138.mp4,30,2,7,47.66,0.0,0.0,26.7,1.42,18.37,101.71,38.85,47.656
noViolencia,NV_138.mp4,30,2,8,255.34,0.0,0.0,6.26,1.42,18.37,101.71,38.85,255.342
noViolencia,NV_138.mp4,30,2,9,68.59,0.0,0.0,6.84,1.42,18.37,101.71,38.85,68.594
noViolencia,NV_138.mp4,30,3,4,56.28,0.0,0.0,0.43,0.0,39.33,53.57,28.0,56.276
noViolencia,NV_138.mp4,30,3,5,74.77,0.0,0.0,5.69,0.0,39.33,53.57,28.0,74.766
noViolencia,NV_138.mp4,30,3,6,92.14,0.0,0.0,1.63,0.0,39.33,53.57,28.0,92.141
noViolencia,NV_138.mp4,30,3,7,62.47,0.0,0.0,30.55,0.0,39.33,53.57,28.0,62.472
noViolencia,NV_138.mp4,30,3,8,174.27,0.0,0.0,2.41,0.0,39.33,53.57,28.0,174.265
noViolencia,NV_138.mp4,30,3,9,13.48,0.0,0.0,2.99,0.0,39.33,53.57,28.0,13.484
noViolencia,NV_138.mp4,30,4,5,25.94,0.0,0.0,5.27,5.82,32.25,82.96,6.87,25.941
noViolencia,NV_138.mp4,30,4,6,37.09,0.0,0.0,2.05,5.82,32.25,82.96,6.87,37.087
noViolencia,NV_138.mp4,30,4,7,113.8,0.0,0.0,30.12,5.82,32.25,82.96,6.87,113.796
noViolencia,NV_138.mp4,30,4,8,118.73,0.0,0.0,2.84,5.82,32.25,82.96,6.87,118.729
noViolencia,NV_138.mp4,30,4,9,69.07,0.0,0.0,3.42,5.82,32.25,82.96,6.87,69.072
noViolencia,NV_138.mp4,30,5,6,21.38,0.0,0.0,7.32,1.8,41.66,32.37,37.14,21.377
noViolencia,NV_138.mp4,30,5,7,124.8,0.0,0.0,24.86,1.8,41.66,32.37,37.14,124.798
noViolencia,NV_138.mp4,30,5,8,100.91,0.0,0.0,8.1,1.8,41.66,32.37,37.14,100.915
noViolencia,NV_138.mp4,30,5,9,88.22,0.0,0.0,8.68,1.8,41.66,32.37,37.14,88.218
noViolencia,NV_138.mp4,30,6,7,145.3,0.0,0.0,32.18,3.3,0.0,53.05,1.22,145.296
noViolencia,NV_138.mp4,30,6,8,82.13,0.0,0.0,0.78,3.3,0.0,53.05,1.22,82.125
noViolencia,NV_138.mp4,30,6,9,105.33,0.0,0.0,1.36,3.3,0.0,53.05,1.22,105.327
noViolencia,NV_138.mp4,30,7,8,225.22,0.0,0.0,32.96,5.39,2.98,59.41,6.06,225.22
noViolencia,NV_138.mp4,30,7,9,55.56,0.0,0.0,33.54,5.39,2.98,59.41,6.06,55.558
noViolencia,NV_138.mp4,30,8,9,187.44,0.0,0.0,0.58,15.67,37.71,0.0,16.43,187.44
noViolencia,NV_138.mp4,40,0,1,207.13,8.91,83.557,285.54,14.44,66.13,65.23,31.27,207.126
noViolencia,NV_138.mp4,40,0,2,94.47,280.353,219.279,2.58,14.44,66.13,65.23,31.27,94.466
noViolencia,NV_138.mp4,40,0,3,153.49,156.871,157.538,2.44,14.44,66.13,65.23,31.27,153.491
noViolencia,NV_138.mp4,40,0,4,166.74,20.779,89.492,7.93,14.44,66.13,65.23,31.27,166.736
noViolencia,NV_138.mp4,40,0,5,14.73,162.028,160.116,2.59,14.44,66.13,65.23,31.27,14.731
noViolencia,NV_138.mp4,40,0,6,176.37,6.063,76.071,0.06,14.44,66.13,65.23,31.27,176.371
noViolencia,NV_138.mp4,40,0,7,86.81,220.5,189.352,1.62,14.44,66.13,65.23,31.27,86.806
noViolencia,NV_138.mp4,40,0,8,265.35,4.765,76.72,0.14,14.44,66.13,65.23,31.27,265.351
noViolencia,NV_138.mp4,40,0,9,263.17,395.459,276.832,34.89,14.44,66.13,65.23,31.27,263.17
noViolencia,NV_138.mp4,40,1,2,299.16,271.443,166.085,288.12,4.73,60.91,46.38,39.85,299.161
noViolencia,NV_138.mp4,40,1,3,359.0,147.961,104.344,287.98,4.73,60.91,46.38,39.85,359.002
noViolencia,NV_138.mp4,40,1,4,373.64,11.869,36.298,293.47,4.73,60.91,46.38,39.85,373.641
noViolencia,NV_138.mp4,40,1,5,200.04,153.118,106.923,282.95,4.73,60.91,46.38,39.85,200.044
noViolencia,NV_138.mp4,40,1,6,382.19,14.973,22.877,285.48,4.73,60.91,46.38,39.85,382.19
noViolencia,NV_138.mp4,40,1,7,292.4,211.59,136.159,287.16,4.73,60.91,46.38,39.85,292.403
noViolencia,NV_138.mp4,40,1,8,472.06,13.676,23.526,285.68,4.73,60.91,46.38,39.85,472.055
noViolencia,NV_138.mp4,40,1,9,62.16,386.548,223.638,320.43,4.73,60.91,46.38,39.85,62.163
noViolencia,NV_138.mp4,40,2,3,59.86,123.482,240.065,0.14,4.49,46.9,60.26,57.89,59.856
noViolencia,NV_138.mp4,40,2,4,76.69,259.574,172.02,5.35,4.49,46.9,60.26,57.89,76.691
noViolencia,NV_138.mp4,40,2,5,99.26,118.325,242.644,5.17,4.49,46.9,60.26,57.89,99.264
noViolencia,NV_138.mp4,40,2,6,83.09,286.416,158.598,2.64,4.49,46.9,60.26,57.89,83.089
noViolencia,NV_138.mp4,40,2,7,8.91,59.853,271.88,0.96,4.49,46.9,60.26,57.89,8.915
noViolencia,NV_138.mp4,40,2,8,173.47,285.118,159.247,2.44,4.49,46.9,60.26,57.89,173.473
noViolencia,NV_138.mp4,40,2,9,352.39,115.106,359.359,32.31,4.49,46.9,60.26,57.89,352.395
noViolencia,NV_138.mp4,40,3,4,23.61,136.092,110.279,5.49,0.05,29.09,1.02,10.1,23.612
noViolencia,NV_138.mp4,40,3,5,159.03,5.157,180.903,5.03,0.05,29.09,1.02,10.1,159.031
noViolencia,NV_138.mp4,40,3,6,23.27,162.934,96.858,2.5,0.05,29.09,1.02,10.1,23.27
noViolencia,NV_138.mp4,40,3,7,66.79,63.629,210.139,0.82,0.05,29.09,1.02,10.1,66.789
noViolencia,NV_138.mp4,40,3,8,113.9,161.636,97.506,2.3,0.05,29.09,1.02,10.1,113.896
noViolencia,NV_138.mp4,40,3,9,412.11,238.588,297.618,32.45,0.05,29.09,1.02,10.1,412.11
noViolencia,NV_138.mp4,40,4,5,173.83,141.249,112.857,10.52,1.72,62.63,30.75,29.15,173.825
noViolencia,NV_138.mp4,40,4,6,19.14,26.842,28.812,7.99,1.72,62.63,30.75,29.15,19.137
noViolencia,NV_138.mp4,40,4,7,82.06,199.721,142.093,6.31,1.72,62.63,30.75,29.15,82.059
noViolencia,NV_138.mp4,40,4,8,98.67,25.545,29.461,7.79,1.72,62.63,30.75,29.15,98.672
noViolencia,NV_138.mp4,40,4,9,428.17,374.679,229.573,26.95,1.72,62.63,30.75,29.15,428.17
noViolencia,NV_138.mp4,40,5,6,182.18,168.091,99.436,2.53,0.49,5.49,34.48,33.34,182.18
noViolencia,NV_138.mp4,40,5,7,92.36,58.472,212.718,4.21,0.49,5.49,34.48,33.34,92.361
noViolencia,NV_138.mp4,40,5,8,272.05,166.793,100.085,2.73,0.49,5.49,34.48,33.34,272.053
noViolencia,NV_138.mp4,40,5,9,254.55,233.431,300.197,37.48,0.49,5.49,34.48,33.34,254.547
noViolencia,NV_138.mp4,40,6,7,89.85,226.563,128.672,1.68,2.71,11.92,31.03,48.21,89.852
noViolencia,NV_138.mp4,40,6,8,90.67,1.298,16.039,0.2,2.71,11.92,31.03,48.21,90.667
noViolencia,NV_138.mp4,40,6,9,435.38,401.522,216.151,34.95,2.71,11.92,31.03,48.21,435.38
noViolencia,NV_138.mp4,40,7,8,179.78,225.265,129.321,1.48,6.71,107.9,92.24,88.78,179.777
noViolencia,NV_138.mp4,40,7,9,346.24,174.958,329.433,33.26,6.71,107.9,92.24,88.78,346.241
noViolencia,NV_138.mp4,40,8,9,525.87,400.224,216.8,34.75,28.98,35.61,175.54,35.89,525.868
noViolencia,NV_138.mp4,50,0,1,284.91,197.299,336.631,313.4,5.18,58.44,51.45,38.68,284.911
noViolencia,NV_138.mp4,50,0,2,191.48,97.118,188.735,312.97,5.18,58.44,51.45,38.68,191.479
noViolencia,NV_138.mp4,50,0,3,345.11,250.464,203.667,312.87,5.18,58.44,51.45,38.68,345.107
noViolencia,NV_138.mp4,50,0,4,363.61,250.293,135.536,317.46,5.18,58.44,51.45,38.68,363.608
noViolencia,NV_138.mp4,50,0,5,364.05,68.397,195.621,309.95,5.18,58.44,51.45,38.68,364.053
noViolencia,NV_138.mp4,50,0,6,121.66,79.487,285.212,330.11,5.18,58.44,51.45,38.68,121.661
noViolencia,NV_138.mp4,50,0,7,458.65,69.531,145.016,311.22,5.18,58.44,51.45,38.68,458.655
noViolencia,NV_138.mp4,50,0,8,159.57,54.979,272.308,341.81,5.18,58.44,51.45,38.68,159.57
noViolencia,NV_138.mp4,50,0,9,280.22,168.313,128.864,311.98,5.18,58.44,51.45,38.68,280.223
noViolencia,NV_138.mp4,50,1,2,94.13,294.417,282.93,0.44,0.76,47.0,102.81,8.19,94.134
noViolencia,NV_138.mp4,50,1,3,60.2,447.763,297.862,0.54,0.76,47.0,102.81,8.19,60.2
noViolencia,NV_138.mp4,50,1,4,80.69,447.591,229.73,4.06,0.76,47.0,102.81,8.19,80.69
noViolencia,NV_138.mp4,50,1,5,79.15,128.902,289.815,3.45,0.76,47.0,102.81,8.19,79.146
noViolencia,NV_138.mp4,50,1,6,163.88,117.812,379.406,16.71,0.76,47.0,102.81,8.19,163.876
noViolencia,NV_138.mp4,50,1,7,174.47,266.83,239.21,2.18,0.76,47.0,102.81,8.19,174.473
noViolencia,NV_138.mp4,50,1,8,133.49,142.32,366.503,28.41,0.76,47.0,102.81,8.19,133.487
noViolencia,NV_138.mp4,50,1,9,6.15,28.986,223.058,1.43,0.76,47.0,102.81,8.19,6.145
noViolencia,NV_138.mp4,50,2,3,154.1,153.346,149.966,0.1,59.86,49.47,25.26,67.62,154.103
noViolencia,NV_138.mp4,50,2,4,172.14,153.175,81.835,4.5,59.86,49.47,25.26,67.62,172.137
noViolencia,NV_138.mp4,50,2,5,173.11,165.515,141.92,3.01,59.86,49.47,25.26,67.62,173.112
noViolencia,NV_138.mp4,50,2,6,72.42,176.605,231.51,17.15,59.86,49.47,25.26,67.62,72.418
noViolencia,NV_138.mp4,50,2,7,267.18,27.586,91.315,1.74,59.86,49.47,25.26,67.62,267.18
noViolencia,NV_138.mp4,50,2,8,43.18,152.096,218.607,28.85,59.86,49.47,25.26,67.62,43.181
noViolencia,NV_138.mp4,50,2,9,89.12,265.431,75.162,0.99,59.86,49.47,25.26,67.62,89.115
noViolencia,NV_138.mp4,50,3,4,26.42,0.171,96.767,4.6,1.94,43.11,92.89,7.59,26.424
noViolencia,NV_138.mp4,50,3,5,19.02,318.861,156.852,2.91,1.94,43.11,92.89,7.59,19.017
noViolencia,NV_138.mp4,50,3,6,224.03,329.951,246.442,17.25,1.94,43.11,92.89,7.59,224.031
noViolencia,NV_138.mp4,50,3,7,114.77,180.932,106.247,1.64,1.94,43.11,92.89,7.59,114.769
noViolencia,NV_138.mp4,50,3,8,192.17,305.443,233.539,28.95,1.94,43.11,92.89,7.59,192.167
noViolencia,NV_138.mp4,50,3,9,64.99,418.777,90.095,0.89,1.94,43.11,92.89,7.59,64.99
noViolencia,NV_138.mp4,50,4,5,21.07,318.689,88.72,7.51,3.11,53.19,33.75,21.07,21.07
noViolencia,NV_138.mp4,50,4,6,243.54,329.779,178.311,12.65,3.11,53.19,33.75,21.07,243.54
noViolencia,NV_138.mp4,50,4,7,95.16,180.761,38.115,6.24,3.11,53.19,33.75,21.07,95.158
noViolencia,NV_138.mp4,50,4,8,207.66,305.271,165.408,24.35,3.11,53.19,33.75,21.07,207.656
noViolencia,NV_138.mp4,50,4,9,84.42,418.606,21.963,5.49,3.11,53.19,33.75,21.07,84.422
noViolencia,NV_138.mp4,50,5,6,242.9,11.09,238.396,20.16,154.74,61.82,20.93,48.63,242.896
noViolencia,NV_138.mp4,50,5,7,96.5,137.928,98.2,1.27,154.74,61.82,20.93,48.63,96.5
noViolencia,NV_138.mp4,50,5,8,211.12,13.418,225.493,31.86,154.74,61.82,20.93,48.63,211.118
noViolencia,NV_138.mp4,50,5,9,84.0,99.916,82.048,2.02,154.74,61.82,20.93,48.63,83.997
noViolencia,NV_138.mp4,50,6,7,338.2,149.018,187.791,18.89,6.52,43.36,56.32,37.82,338.202
noViolencia,NV_138.mp4,50,6,8,55.57,24.508,315.083,11.7,6.52,43.36,56.32,37.82,55.575
noViolencia,NV_138.mp4,50,6,9,159.45,88.826,171.639,18.13,6.52,43.36,56.32,37.82,159.449
noViolencia,NV_138.mp4,50,7,8,302.66,124.51,174.888,30.59,8.84,33.55,90.0,23.11,302.661
noViolencia,NV_138.mp4,50,7,9,178.76,237.844,31.443,0.75,8.84,33.55,90.0,23.11,178.756
noViolencia,NV_138.mp4,50,8,9,127.95,113.334,158.736,29.84,178.93,9.7,87.67,31.54,127.947
noViolencia,NV_138.mp4,60,0,1,197.65,154.978,276.357,313.48,5.3,65.03,48.64,38.35,197.653
noViolencia,NV_138.mp4,60,0,2,276.56,151.626,130.824,313.53,5.3,65.03,48.64,38.35,276.557
noViolencia,NV_138.mp4,60,0,3,338.57,1.587,130.758,312.55,5.3,65.03,48.64,38.35,338.569
noViolencia,NV_138.mp4,60,0,4,73.49,475.721,363.007,147.39,5.3,65.03,48.64,38.35,73.489
noViolencia,NV_138.mp4,60,0,5,355.25,178.062,200.364,317.78,5.3,65.03,48.64,38.35,355.253
noViolencia,NV_138.mp4,60,0,6,76.53,71.497,259.192,318.05,5.3,65.03,48.64,38.35,76.525
noViolencia,NV_138.mp4,60,0,7,371.46,144.543,148.159,312.98,5.3,65.03,48.64,38.35,371.456
noViolencia,NV_138.mp4,60,0,8,353.98,320.778,132.9,309.53,5.3,65.03,48.64,38.35,353.98
noViolencia,NV_138.mp4,60,0,9,449.81,186.318,246.194,310.82,5.3,65.03,48.64,38.35,449.813
noViolencia,NV_138.mp4,60,0,10,103.25,8.694,127.598,332.21,5.3,65.03,48.64,38.35,103.247
noViolencia,NV_138.mp4,60,0,11,385.96,8.694,127.598,307.52,5.3,65.03,48.64,38.35,385.957
noViolencia,NV_138.mp4,60,1,2,80.03,3.352,151.985,0.05,9.94,54.44,74.26,34.72,80.027
noViolencia,NV_138.mp4,60,1,3,142.15,156.565,151.919,0.93,9.94,54.44,74.26,34.72,142.15
noViolencia,NV_138.mp4,60,1,4,266.63,320.743,384.167,166.09,9.94,54.44,74.26,34.72,266.628
noViolencia,NV_138.mp4,60,1,5,157.66,23.085,221.524,4.3,9.94,54.44,74.26,34.72,157.661
noViolencia,NV_138.mp4,60,1,6,121.13,83.481,280.352,4.58,9.94,54.44,74.26,34.72,121.129
noViolencia,NV_138.mp4,60,1,7,173.83,10.435,169.32,0.49,9.94,54.44,74.26,34.72,173.827
noViolencia,NV_138.mp4,60,1,8,157.5,165.801,154.06,3.94,9.94,54.44,74.26,34.72,157.501
noViolencia,NV_138.mp4,60,1,9,252.27,31.34,267.355,2.66,9.94,54.44,74.26,34.72,252.266
noViolencia,NV_138.mp4,60,1,10,98.26,163.671,148.759,18.73,9.94,54.44,74.26,34.72,98.257
noViolencia,NV_138.mp4,60,1,11,188.64,163.671,148.759,5.96,9.94,54.44,74.26,34.72,188.644
noViolencia,NV_138.mp4,60,2,3,62.18,153.214,6.386,0.98,12.78,48.86,28.93,1.23,62.184
noViolencia,NV_138.mp4,60,2,4,343.72,324.094,238.635,166.14,12.78,48.86,28.93,1.23,343.722
noViolencia,NV_138.mp4,60,2,5,79.72,26.436,75.992,4.25,12.78,48.86,28.93,1.23,79.717
noViolencia,NV_138.mp4,60,2,6,200.19,80.13,134.82,4.53,12.78,48.86,28.93,1.23,200.187
noViolencia,NV_138.mp4,60,2,7,96.05,7.083,23.787,0.54,12.78,48.86,28.93,1.23,96.054
noViolencia,NV_138.mp4,60,2,8,77.57,169.152,8.528,3.99,12.78,48.86,28.93,1.23,77.573
noViolencia,NV_138.mp4,60,2,9,173.64,34.691,121.822,2.71,12.78,48.86,28.93,1.23,173.637
noViolencia,NV_138.mp4,60,2,10,174.78,160.32,3.226,18.68,12.78,48.86,28.93,1.23,174.775
noViolencia,NV_138.mp4,60,2,11,109.53,160.32,3.226,6.01,12.78,48.86,28.93,1.23,109.528
noViolencia,NV_138.mp4,60,3,4,405.06,477.308,238.568,165.16,0.27,34.99,75.32,10.49,405.065
noViolencia,NV_138.mp4,60,3,5,25.51,179.65,75.925,5.23,0.27,34.99,75.32,10.49,25.507
noViolencia,NV_138.mp4,60,3,6,262.28,73.084,134.753,5.51,0.27,34.99,75.32,10.49,262.282
noViolencia,NV_138.mp4,60,3,7,39.44,146.131,23.721,0.44,0.27,34.99,75.32,10.49,39.442
noViolencia,NV_138.mp4,60,3,8,15.41,322.366,8.462,3.01,0.27,34.99,75.32,10.49,15.411
noViolencia,NV_138.mp4,60,3,9,112.79,187.905,121.756,1.73,0.27,34.99,75.32,10.49,112.786
noViolencia,NV_138.mp4,60,3,10,236.37,7.106,3.16,19.66,0.27,34.99,75.32,10.49,236.365
noViolencia,NV_138.mp4,60,3,11,48.71,7.106,3.16,5.03,0.27,34.99,75.32,10.49,48.713
noViolencia,NV_138.mp4,60,4,5,423.21,297.658,308.174,170.38,2.04,2.13,91.93,158.27,423.205
noViolencia,NV_138.mp4,60,4,6,146.8,404.224,367.002,170.66,2.04,2.13,91.93,158.27,146.803
noViolencia,NV_138.mp4,60,4,7,439.52,331.178,255.969,165.59,2.04,2.13,91.93,158.27,439.516
noViolencia,NV_138.mp4,60,4,8,420.41,154.942,240.71,162.14,2.04,2.13,91.93,158.27,420.413
noViolencia,NV_138.mp4,60,4,9,517.35,289.403,354.004,163.43,2.04,2.13,91.93,158.27,517.35
noViolencia,NV_138.mp4,60,4,10,169.0,484.414,235.408,184.82,2.04,2.13,91.93,158.27,169.004
noViolencia,NV_138.mp4,60,4,11,453.18,484.414,235.408,160.13,2.04,2.13,91.93,158.27,453.184
