0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
violencia_limpios,V_804.mp4,70,2,208.3184051513672,381.41,158.13,380.91,148.0,379.9,149.02,324.91,167.74,376.87,162.68,334.49,136.36,393.52,206.2,324.4,165.72,374.35,167.74,325.92,210.76,375.86,134.85,325.92,201.65,362.75,196.59,325.92,243.15,377.88,227.96,331.97,228.47,396.55,243.15
violencia_limpios,V_804.mp4,80,0,68.4708023071289,85.5,131.08,86.01,121.44,76.37,121.95,52.53,127.02,51.01,127.02,58.11,171.67,49.49,172.18,159.06,237.13,161.09,239.67,214.86,216.83,215.37,215.82,53.55,365.0,103.26,365.0,164.64,351.3,161.6,350.79,219.42,211.25,106.81,365.0
violencia_limpios,V_804.mp4,80,1,310.28460693359375,137.34,324.43,132.28,322.91,130.76,321.89,57.86,313.77,112.53,339.66,21.41,400.06,24.45,407.17,155.06,234.07,155.06,234.58,76.08,179.25,79.12,179.25,24.45,393.47,51.28,389.4,90.26,510.73,88.74,511.23,83.68,413.26,36.09,400.06
violencia_limpios,V_804.mp4,80,2,232.1486053466797,174.3,306.54,175.82,304.52,173.29,304.52,177.84,305.03,171.77,305.03,181.88,313.6,182.89,313.1,172.28,324.69,185.42,324.69,172.28,329.73,161.66,330.74,179.86,334.27,173.29,334.27,180.87,350.41,173.29,350.41,180.87,366.54,180.87,367.55
violencia_limpios,V_804.mp4,90,0,70.51110076904297,112.31,161.86,119.4,137.52,96.1,145.63,46.44,161.86,55.06,154.76,67.72,225.77,46.44,230.84,110.79,324.68,111.3,326.2,203.0,325.7,221.74,323.67,16.55,415.98,104.2,378.95,161.45,365.26,148.28,493.59,138.65,379.46,99.14,438.81
violencia_limpios,V_804.mp4,100,0,156.57730102539062,165.74,362.53,107.44,348.82,163.71,340.7,39.5,349.33,153.07,354.91,16.69,456.44,17.19,457.96,200.72,232.06,82.09,210.74,91.21,209.72,200.72,233.58,9.59,505.18,132.28,476.75,121.63,286.89,86.14,279.27,60.8,450.35,136.84,473.19
violencia_limpios,V_804.mp4,120,0,280.0546875,339.83,109.52,339.83,95.82,326.65,98.36,346.92,104.95,303.86,102.92,346.92,141.46,277.51,142.48,367.18,184.57,215.7,160.73,373.26,193.19,258.77,150.09,339.83,241.87,289.16,239.84,349.45,319.46,282.58,313.37,357.56,404.15,252.69,413.78
violencia_limpios,V_804.mp4,130,0,73.6458969116211,366.23,135.07,368.76,135.07,363.69,135.07,396.67,135.07,402.25,135.07,387.03,175.63,390.58,175.13,372.32,234.96,393.62,191.35,349.99,249.15,369.27,171.07,362.68,265.38,392.61,274.51,359.13,332.81,383.48,341.94,344.41,386.05,341.88,389.6
violencia_limpios,V_804.mp4,130,1,0.0,281.11,109.69,290.23,104.11,273.01,104.11,307.46,105.63,261.36,106.64,333.29,149.27,244.64,148.77,351.02,194.95,219.81,165.01,348.49,222.86,225.89,149.27,305.94,292.39,256.8,229.46,313.54,358.87,240.59,304.06,328.23,420.79,215.76,408.1
violencia_limpios,V_804.mp4,130,2,0.0,369.14,127.98,373.67,121.89,368.13,121.39,386.76,123.92,363.6,114.79,399.36,146.76,347.48,148.79,376.69,172.13,356.04,176.19,367.12,181.77,366.62,181.77,392.3,188.36,361.08,188.36,383.74,174.16,358.06,188.36,376.19,158.43,365.11,183.29
violencia_limpios,V_804.mp4,130,3,0.0,292.91,205.38,285.81,204.36,282.77,202.34,289.87,204.36,263.0,203.86,292.91,227.18,248.3,227.18,307.11,259.64,238.16,250.51,295.95,275.87,235.62,285.5,292.41,295.64,249.31,294.63,305.59,352.44,233.6,355.48,324.35,421.4,216.36,421.4
violencia_limpios,V_804.mp4,130,4,0.0,362.67,125.61,367.74,118.52,364.7,118.52,390.02,122.07,363.69,118.52,399.14,148.91,345.45,147.9,374.32,229.45,362.67,242.62,352.04,246.17,377.87,191.46,367.23,270.99,378.38,270.99,383.44,180.32,387.49,179.31,358.11,270.99,349.0,244.65
violencia_limpios,V_804.mp4,140,0,58.374900817871094,335.74,178.97,339.8,167.31,360.56,178.97,339.29,157.67,375.25,190.63,328.65,224.61,380.31,232.21,319.03,269.23,374.74,270.75,300.8,295.09,372.72,301.68,346.89,311.32,358.03,307.26,350.43,361.52,352.96,363.55,378.29,413.24,378.29,414.25
violencia_limpios,V_804.mp4,140,1,93.45469665527344,242.25,239.84,210.37,195.69,306.02,243.9,279.7,195.69,281.72,194.68,308.55,180.98,239.72,239.84,322.72,253.04,324.23,255.07,302.98,291.61,305.51,289.58,272.61,307.85,289.32,303.79,214.92,352.0,299.44,368.24,322.72,431.68,322.72,431.17
violencia_limpios,V_804.mp4,140,2,235.56680297851562,182.87,266.18,185.4,259.59,166.18,257.56,195.51,260.6,165.67,259.08,202.59,281.4,164.15,259.08,207.15,297.64,160.11,304.23,202.59,261.11,196.52,264.15,192.98,319.45,169.21,318.44,212.71,349.39,168.2,350.91,197.54,393.02,161.63,385.41
violencia_limpios,V_804.mp4,140,3,287.07110595703125,16.49,338.87,25.11,328.72,11.42,331.26,60.08,430.76,9.9,334.3,47.92,347.0,48.93,350.55,73.26,419.08,74.78,422.13,25.11,508.93,68.19,462.23,21.56,514.01,37.78,501.83,22.07,514.52,26.63,510.96,26.12,507.41,27.14,509.95
